ID;escolaridade;idade;luz;renda_pc;tratado;conjuge;tempo
567;2;14;0;85;0;1;0
585;2;14;1;128;0;1;0
571;1;14;1;255;0;0;0
628;2;14;1;285;0;1;0
626;1;14;1;316;0;1;0
630;1;14;1;340;0;1;0
564;2;14;1;340;0;0;0
649;3;14;1;340;0;1;0
652;1;14;1;383;0;1;0
620;3;14;1;402;0;1;0
622;3;14;1;418;0;1;0
623;2;14;1;470;0;1;0
644;1;14;1;510;0;1;0
629;3;14;1;510;0;1;0
635;3;14;1;510;0;1;0
640;3;14;1;608;0;1;0
643;7;14;1;750;0;1;0
621;1;14;1;755;0;1;0
619;5;14;1;900;0;1;0
634;5;14;1;928;0;1;0
602;2;14;1;100;1;1;0
613;2;14;1;130;1;1;0
676;5;14;1;170;1;1;0
673;1;14;1;300;1;1;0
686;2;14;1;300;1;1;0
672;2;14;1;300;1;1;0
665;1;14;1;303;1;1;0
666;1;14;1;305;1;1;0
662;2;14;1;393;1;1;0
681;1;14;1;510;1;0;0
667;1;14;1;510;1;1;0
657;2;14;1;510;1;1;0
680;3;14;1;510;1;1;0
670;7;14;1;650;1;1;0
659;3;14;1;883;1;1;0
675;3;14;1;1005;1;1;0
590;3;14;1;1110;1;0;0
671;2;14;1;1255;1;1;0
710;7;16;1;255;0;1;0
711;2;16;1;295;0;1;0
692;1;16;1;306;0;1;0
697;2;16;1;310;0;1;0
702;2;16;1;340;0;1;0
689;1;16;1;343;0;1;0
703;1;16;1;355;0;1;0
696;1;16;1;358;0;1;0
688;3;16;1;360;0;1;0
701;2;16;1;440;0;1;0
691;2;16;1;462;0;1;0
695;2;16;1;503;0;1;0
2989;8;16;1;603;0;1;0
2990;5;16;1;0;1;0;0
2991;7;16;1;148;1;0;0
723;2;16;1;255;1;1;0
715;3;16;1;318;1;1;0
720;1;16;1;340;1;1;0
731;5;16;1;349;1;1;0
727;2;16;1;368;1;1;0
712;4;16;1;403;1;1;0
735;3;16;1;455;1;1;0
2985;3;17;0;78;0;1;0
2984;7;17;1;107;0;0;0
2983;4;17;1;153;0;1;0
2986;7;17;1;360;0;0;0
2987;2;17;1;338;1;1;0
2988;7;17;1;900;1;1;0
625;2;18;1;83;0;0;0
624;2;18;0;153;0;1;0
698;1;18;1;200;0;1;0
618;1;18;1;255;0;0;0
2982;7;18;1;281;0;0;0
2979;4;18;1;300;0;1;0
707;1;18;1;510;0;1;0
2978;6;18;1;602;0;0;0
687;7;18;1;650;0;1;0
699;8;18;1;753;0;1;0
705;2;18;1;755;0;1;0
709;3;18;1;1755;0;1;0
661;1;18;1;0;1;0;0
663;2;18;0;50;1;1;0
732;1;18;1;85;1;1;0
721;2;18;1;300;1;1;0
2980;4;18;1;433;1;1;0
716;1;18;1;510;1;1;0
725;1;18;1;510;1;1;0
717;2;18;1;510;1;1;0
683;3;18;0;510;1;1;0
728;3;18;1;510;1;1;0
2981;7;18;1;510;1;0;0
736;2;18;1;590;1;1;0
713;2;18;1;700;1;1;0
730;2;18;1;725;1;1;0
722;1;18;1;800;1;1;0
714;2;18;1;917;1;1;0
719;3;18;1;1000;1;1;0
724;4;18;1;1000;1;1;0
2994;2;19;1;0;0;1;0
2995;3;19;0;0;0;1;0
637;2;19;1;29;0;1;0
2976;7;19;1;63;0;1;0
638;2;19;1;100;0;1;0
641;4;19;1;100;0;1;0
636;2;19;1;128;0;1;0
2974;6;19;1;130;0;0;0
2975;3;19;1;150;0;1;0
2977;7;19;1;163;0;1;0
645;2;19;1;170;0;1;0
627;1;19;1;175;0;1;0
2997;1;19;1;175;0;1;0
651;4;19;1;189;0;1;0
2998;3;19;1;200;0;1;0
650;1;19;1;204;0;1;0
646;3;19;1;253;0;1;0
654;2;19;1;255;0;1;0
2973;7;19;1;255;0;1;0
632;2;19;1;270;0;1;0
653;2;19;1;295;0;0;0
642;2;19;1;300;0;0;0
3000;7;19;1;300;0;1;0
633;1;19;1;347;0;0;0
631;2;19;1;383;0;0;0
2992;1;19;1;398;0;1;0
2996;8;19;1;400;0;1;0
2993;3;19;1;473;0;1;0
2999;4;19;1;478;0;1;0
639;2;19;1;510;0;0;0
647;3;19;1;800;0;0;0
648;3;19;1;800;0;0;0
658;2;19;1;87;1;1;0
674;2;19;1;120;1;1;0
664;2;19;1;128;1;1;0
655;1;19;1;170;1;1;0
678;2;19;1;202;1;1;0
660;2;19;1;233;1;1;0
668;1;19;1;255;1;1;0
684;1;19;1;264;1;1;0
685;1;19;1;340;1;0;0
656;4;19;1;366;1;0;0
669;1;19;1;405;1;0;0
682;1;19;1;510;1;0;0
677;3;19;1;510;1;0;0
679;2;19;1;610;1;0;0
2966;5;20;1;50;0;1;0
2964;7;20;1;50;0;0;0
2967;5;20;1;128;0;1;0
2965;7;20;1;300;0;1;0
2968;3;20;1;375;0;1;0
2969;7;20;1;448;0;0;0
2971;4;20;1;128;1;1;0
2972;4;20;1;255;1;1;0
2970;7;20;1;610;1;1;0
2955;5;21;1;20;0;1;0
2962;6;21;1;30;0;1;0
2956;6;21;1;100;0;1;0
2963;4;21;1;128;0;1;0
563;2;21;1;160;0;1;0
572;2;21;1;173;0;1;0
589;2;21;1;186;0;1;0
2961;6;21;1;200;0;1;0
570;1;21;1;204;0;1;0
575;2;21;1;237;0;1;0
569;2;21;1;255;0;1;0
