|Ministério da Educação|
|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|
Taxas de Rendimento Escolar, Abandono||


Ano|Código da Escola|Taxa de Abandono no Ensino Médio (%)
2014|25000047|-
2015|25000047|13,2
2016|25000047|12,7
2017|25000047|5,5
2018|25000047|10,8
2019|25000047|2,8
2020|25000047|6,5
2021|25000047|0
2018|25000055|31,7
2019|25000055|21,4
2020|25000055|19
2021|25000055|19,7
2014|25000349|-
2015|25000349|7,5
2016|25000349|0
2017|25000349|3,9
2018|25000349|2
2019|25000349|0,9
2020|25000349|3,2
2021|25000349|0
2014|25000640|-
2015|25000640|17,2
2016|25000640|29,8
2017|25000640|11,6
2018|25000640|13,9
2019|25000640|2,5
2020|25000640|0
2021|25000640|0
2018|25000659|19,7
2019|25000659|20,3
2020|25000659|7,4
2021|25000659|5,9
2014|25001302|-
2015|25001302|0
2016|25001302|10,9
2017|25001302|13
2018|25001302|11,2
2019|25001302|4,7
2020|25001302|2,9
2021|25001302|0
2014|25001477|-
2015|25001477|7,9
2016|25001477|6,7
2017|25001477|6,2
2018|25001477|6,3
2019|25001477|6,6
2020|25001477|0
2021|25001477|0
2014|25001825|-
2015|25001825|0,8
2016|25001825|3,6
2017|25001825|4,9
2018|25001825|0
2019|25001825|2,4
2020|25001825|0
2021|25001825|8,6
2014|25001833|-
2015|25001833|12,6
2016|25001833|21,2
2017|25001833|5,8
2018|25001833|0
2019|25001833|0,6
2020|25001833|3,2
2021|25001833|0
2017|25001906|20,6
2018|25001906|17
2019|25001906|0
2020|25001906|0
2021|25001906|0
2014|25002422|-
2015|25002422|22,8
2016|25002422|26,5
2017|25002422|13,1
2018|25002422|10,7
2019|25002422|4,5
2020|25002422|1,1
2021|25002422|0
2014|25002457|-
2015|25002457|8,8
2016|25002457|3,3
2017|25002457|6,5
2018|25002457|2,9
2019|25002457|16,6
2020|25002457|1,4
2021|25002457|0
2014|25003054|-
2015|25003054|13
2016|25003054|9,2
2017|25003054|5,7
2018|25003054|6,4
2019|25003054|2,3
2020|25003054|5,3
2021|25003054|8,6
2014|25003410|-
2015|25003410|13,1
2016|25003410|15,3
2017|25003410|16,5
2018|25003410|6,5
2019|25003410|3,7
2020|25003410|7,1
2021|25003410|0,6
2014|25003844|-
2015|25003844|15,9
2016|25003844|15,9
2017|25003844|10,4
2018|25003844|11,7
2019|25003844|7,7
2020|25003844|25,3
2021|25003844|29,1
2014|25004875|-
2015|25004875|4,2
2016|25004875|25,8
2017|25004875|38,7
2018|25004875|25,2
2019|25004875|8,8
2020|25004875|0
2021|25004875|1,1
2014|25004883|-
2015|25004883|12,5
2016|25004883|17
2017|25004883|20,1
2018|25004883|4,1
2019|25004883|4,2
2020|25004883|0,8
2021|25004883|0,4
2016|25004999|16,7
2017|25004999|11,1
2018|25004999|20
2019|25004999|2,4
2020|25004999|2,1
2021|25004999|0
2014|25005995|-
2015|25005995|5
2016|25005995|7,9
2017|25005995|11,2
2018|25005995|5,9
2019|25005995|2,3
2020|25005995|0
2021|25005995|0
2014|25006029|-
2015|25006029|6,6
2016|25006029|8,6
2017|25006029|9,5
2018|25006029|5,7
2019|25006029|8
2020|25006029|0
2021|25006029|27,6
2014|25006223|-
2015|25006223|10,8
2016|25006223|9,2
2017|25006223|9,5
2018|25006223|6,4
2019|25006223|5,2
2020|25006223|0,4
2021|25006223|0
2014|25007092|-
2015|25007092|30,7
2016|25007092|23,6
2017|25007092|23,4
2018|25007092|19,2
2019|25007092|7,8
2020|25007092|0
2021|25007092|10,4
2014|25007718|-
2015|25007718|14
2016|25007718|18,4
2017|25007718|10,2
2018|25007718|9
2019|25007718|6,8
2020|25007718|7,8
2021|25007718|9,7
2014|25007726|-
2015|25007726|23,6
2016|25007726|26,3
2017|25007726|16,1
2018|25007726|10,2
2019|25007726|7,6
2020|25007726|0
2021|25007726|0
2018|25007742|23,1
2019|25007742|9
2020|25007742|0
2021|25007742|0,7
2014|25007785|-
2015|25007785|14
2016|25007785|19,1
2017|25007785|20,3
2018|25007785|6,1
2019|25007785|0,5
2020|25007785|0
2021|25007785|0
2014|25007904|-
2015|25007904|19,2
2016|25007904|18,8
2017|25007904|13,3
2018|25007904|11,4
2019|25007904|11,8
2020|25007904|0,3
2021|25007904|0,4
2014|25008978|-
2015|25008978|1,1
2016|25008978|1,4
2017|25008978|1,8
2018|25008978|1,3
2019|25008978|0,8
2020|25008978|0
2021|25008978|0,6
2014|25009087|-
2015|25009087|0,7
2016|25009087|0
2017|25009087|0
2018|25009087|0
2019|25009087|0
2020|25009087|0
2021|25009087|0
2014|25009192|-
2015|25009192|8,4
2016|25009192|15,2
2017|25009192|27,3
2018|25009192|6,6
2019|25009192|9,8
2020|25009192|0
2021|25009192|3,1
2014|25009559|-
2015|25009559|2,1
2016|25009559|8,1
2017|25009559|1,9
2018|25009559|11,3
2019|25009559|7,1
2020|25009559|0,9
2021|25009559|10,3
2018|25009923|36
2019|25009923|10,5
2020|25009923|0
2021|25009923|0
2014|25009931|-
2015|25009931|1,7
2016|25009931|6,2
2017|25009931|9,1
2018|25009931|2,2
2019|25009931|1,1
2020|25009931|0
2021|25009931|0
2014|25010565|-
2015|25010565|16,7
2016|25010565|15,4
2017|25010565|9,1
2018|25010565|7
2019|25010565|0,6
2020|25010565|0
2021|25010565|0
2014|25011669|-
2015|25011669|6,2
2016|25011669|15,6
2017|25011669|6,4
2018|25011669|13,8
2019|25011669|15,9
2020|25011669|1,5
2021|25011669|18,7
2020|25012185|0
2021|25012185|0
2014|25012193|-
2015|25012193|10,1
2016|25012193|17,4
2017|25012193|20,3
2018|25012193|21
2019|25012193|1,3
2020|25012193|0
2021|25012193|0
2014|25012207|-
2015|25012207|15,3
2016|25012207|7
2017|25012207|14,6
2018|25012207|6
2019|25012207|11,3
2020|25012207|0,6
2021|25012207|0
2014|25012916|-
2015|25012916|10,8
2016|25012916|12,5
2017|25012916|9,7
2018|25012916|19,1
2019|25012916|7,7
2020|25012916|3,8
2021|25012916|1,1
2020|25012924|0
2021|25012924|0
2014|25012932|-
2015|25012932|12,1
2016|25012932|6,6
2017|25012932|4,1
2018|25012932|9,5
2019|25012932|10,5
2020|25012932|0
2021|25012932|1
2014|25012940|-
2015|25012940|21,1
2016|25012940|28,5
2017|25012940|18,2
2018|25012940|10
2019|25012940|2,3
2020|25012940|0
2021|25012940|4,8
2014|25012967|-
2015|25012967|0
2016|25012967|13,3
2017|25012967|20,6
2018|25012967|10,3
2019|25012967|34,3
2020|25012967|0
2021|25012967|4,5
2014|25013840|-
2015|25013840|3,9
2016|25013840|1,6
2017|25013840|0
2018|25013840|2
2019|25013840|0
2020|25013840|0
2021|25013840|0
2014|25014226|-
2015|25014226|6,1
2016|25014226|1,2
2017|25014226|3,3
2018|25014226|5,5
2019|25014226|4,8
2020|25014226|0
2021|25014226|0,9
2014|25014412|-
2015|25014412|5,2
2016|25014412|9,1
2017|25014412|12,3
2018|25014412|6,2
2019|25014412|3
2020|25014412|0,9
2021|25014412|0
2014|25014692|-
2015|25014692|4,2
2016|25014692|6,8
2017|25014692|24,8
2018|25014692|9,2
2019|25014692|4,9
2020|25014692|0,6
2021|25014692|6,6
2014|25014951|-
2015|25014951|11,5
2016|25014951|8,6
2017|25014951|15,9
2018|25014951|13
2019|25014951|14,8
2020|25014951|4,9
2021|25014951|0,4
2014|25015320|-
2015|25015320|6,1
2016|25015320|5,5
2017|25015320|9,1
2018|25015320|13,6
2019|25015320|7,6
2020|25015320|0,5
2021|25015320|1,5
2014|25015869|-
2015|25015869|5,4
2016|25015869|4,9
2017|25015869|0,7
2018|25015869|2
2019|25015869|0,4
2020|25015869|0
2021|25015869|0,7
2016|25015885|7,5
2017|25015885|5,4
2018|25015885|10,1
2019|25015885|0
2020|25015885|0
2021|25015885|0
2014|25015893|-
2015|25015893|11,4
2016|25015893|6,8
2017|25015893|5,3
2018|25015893|2,6
2019|25015893|0
2020|25015893|0,2
2021|25015893|0
2021|25016032|0
2014|25016059|-
2015|25016059|4
2016|25016059|6,1
2017|25016059|3,5
2018|25016059|2,3
2019|25016059|2,2
2020|25016059|0
2021|25016059|9,6
2014|25016105|-
2015|25016105|1,1
2016|25016105|4,6
2017|25016105|2,8
2018|25016105|8
2019|25016105|3,4
2020|25016105|0
2021|25016105|0
2014|25016164|-
2015|25016164|0
2016|25016164|0
2017|25016164|0
2018|25016164|1,7
2019|25016164|1,8
2020|25016164|1,4
2021|25016164|0
2014|25017080|-
2015|25017080|6,6
2016|25017080|5,9
2017|25017080|9,1
2018|25017080|4,8
2019|25017080|11,3
2020|25017080|0
2021|25017080|1,3
2014|25017438|-
2015|25017438|8,2
2016|25017438|3,9
2017|25017438|8,6
2018|25017438|7,7
2019|25017438|1,7
2020|25017438|0
2021|25017438|0
2014|25018027|-
2015|25018027|9,1
2016|25018027|2,6
2017|25018027|11
2018|25018027|7,2
2019|25018027|5,6
2020|25018027|1,3
2021|25018027|1,1
2014|25018060|-
2015|25018060|0
2016|25018060|7,6
2017|25018060|5,2
2018|25018060|0
2019|25018060|2,7
2020|25018060|0
2021|25018060|0
2014|25018094|-
2015|25018094|8,6
2016|25018094|6,4
2017|25018094|6,9
2018|25018094|2,8
2019|25018094|5,3
2020|25018094|1,9
2021|25018094|0,9
2014|25018140|-
2015|25018140|15,8
2016|25018140|22,4
2017|25018140|21,2
2018|25018140|13,2
2019|25018140|7,8
2020|25018140|3,2
2021|25018140|0
2014|25018183|-
2015|25018183|7,7
2016|25018183|2,2
2017|25018183|3,6
2018|25018183|13,8
2019|25018183|4,7
2020|25018183|5,3
2021|25018183|0
2014|25018191|-
2015|25018191|0
2016|25018191|0
2017|25018191|0
2018|25018191|10
2019|25018191|0
2014|25018272|-
2015|25018272|7,1
2016|25018272|4,3
2017|25018272|3,7
2018|25018272|6,6
2019|25018272|4,8
2020|25018272|1,7
2021|25018272|1,2
2014|25018280|-
2015|25018280|8,4
2016|25018280|6,7
2017|25018280|0,5
2018|25018280|0,3
