Exercício: 2015
Escopo: Municípios
Tabela: Despesas Por Função - Empenhadas (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Conta;Valor
"V1";"V2";"V3";"V4";"V5";"V6"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"Despesas (Exceto Intraorçamentárias)";"8888520,19"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"01 - Legislativa";"560476,39"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"01.031 - Ação Legislativa";"560476,39"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"04 - Administração";"2763645,59"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"04.122 - Administração Geral";"2573802,79"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"04.123 - Administração Financeira";"189842,80"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"08 - Assistência Social";"527276,59"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"08.244 - Assistência Comunitária";"149678,47"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"08.999 - Demais Subfunções Assistência Social";"377598,12"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"10 - Saúde";"2064774,50"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"10.301 - Atenção Básica";"1884964,07"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"10.302 - Assistência Hospitalar e Ambulatorial";"114385,33"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"10.303 - Suporte Profilático e Terapêutico";"16140,62"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"10.305 - Vigilância Epidemiológica";"49284,48"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"12 - Educação";"1908066,46"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"12.361 - Ensino Fundamental";"1681282,57"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"12.365 - Educação Infantil";"188010,89"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"12.999 - Demais Subfunções Educação";"38773,00"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"13 - Cultura";"113103,00"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"13.999 - Demais Subfunções Cultura";"113103,00"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"15 - Urbanismo";"39610,96"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"15.452 - Serviços Urbanos";"39610,96"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"18 - Gestão Ambiental";"29215,00"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"18.542 - Controle Ambiental";"29215,00"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"20 - Agricultura";"302424,73"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"20.606 - Extensão Rural";"302424,73"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"27 - Desporto e Lazer";"47826,93"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"27.999 - Demais Subfunções Desporto e Lazer";"47826,93"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"28 - Encargos Especiais";"532100,04"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"28.846 - Outros Encargos Especiais";"158795,99"
"Prefeitura Municipal de Parari - PB";2510659;"PB";1809;"28.999 - Demais Subfunções Encargos Especiais";"373304,05"
"Prefeitura Municipal de Bernardino Batista - PB";2502052;"PB";3312;"Despesas (Exceto Intraorçamentárias)";"13989778,32"
"Prefeitura Municipal de Bernardino Batista - PB";2502052;"PB";3312;"01 - Legislativa";"576056,19"
"Prefeitura Municipal de Bernardino Batista - PB";2502052;"PB";3312;"01.031 - Ação Legislativa";"576056,19"
"Prefeitura Municipal de Bernardino Batista - PB";2502052;"PB";3312;"04 - Administração";"2514005,97"
"Prefeitura Municipal de Bernardino Batista - PB";2502052;"PB";3312;"04.122 - Administração Geral";"2424359,74"
