id_pedido,data_pedido,regiao,canal_venda,categoria_produto,produto,quantidade,preco_unitario,desconto,receita,custo,entregue_no_prazo,satisfacao_cliente
67,2025-02-23,Sudeste,Online,Alimentos,,1,44.61,0.198,35.79,28.87,0,8.5
255,2025-04-09,Nordeste, Online ,Eletrônicos,Smartwatch,1,2122.72,0.376,1325.42,1116.68,1,6.0
911,2025-01-21,Norte,Loja física,Beleza,Shampoo,2,102.78,0.076,189.99,100.05,1,8.1
164,2025-05-01,Nordeste,Online,Móveis,Mesa,1,605.0,0.032,585.37,390.98,1,8.1
869,2025-05-31,Nordeste,Online,Beleza,Hidratante,2,99.64,0.161,167.25,84.16,1,7.7
1396,2025-02-13,Nordeste,Loja física,Eletrônicos,Notebook,1,1582.25,0.069,1472.7,1087.22,1,8.9
454,2025-03-27,Sudeste,Marketplace,Móveis,Armário,2,588.99,0.149,1002.56,753.27,1,7.0
1388,2025-04-18,Nordeste,Marketplace,Alimentos,Café,2,27.23,0.167,45.38,34.01,1,9.1
781,2025-02-20,Sudeste,Online,Vestuário,Jaqueta,6,180.1,0.103,969.64,513.44,1,6.8
1367,2025-05-30,Nordeste,Marketplace,Beleza,Hidratante,1,103.18,0.036,99.51,52.47,1,6.2
1406,2025-03-24,Centro-Oeste,Loja física,Beleza,Protetor solar,2,71.13,0.177,117.05,58.09,1,7.6
1086,2025-03-17,Centro-Oeste,Marketplace,Beleza,Maquiagem,1,103.56,0.077,95.61,47.23,1,9.6
1096,2025-01-27,Norte,Loja física,Alimentos,Biscoito,1,51.07,0.85,47.07,36.53,1,8.8
1471,2025-05-21,Sudeste, Online ,Móveis,Mesa,2,1234.42,0.166,2058.14,1476.91,1,7.7
838,2025-02-16,Nordeste,Marketplace,Beleza,Perfume,2,90.77,0.091,165.02,85.9,1,8.3
1462,2025-01-16,Norte,Loja física,Vestuário,Camisa,1,137.98,0.099,124.34,66.21,1,8.2
1357,2025-02-09,Sudeste,loja fisica,Vestuário,Tênis,2,139.16,0.09,253.26,146.63,1,9.0
168,2025-01-03,Centro-Oeste,Online,Vestuário,Calça,1,116.83,0.392,70.98,39.86,1,7.9
946,2025-03-11,Nordeste,Online,Alimentos,Chocolate,2,54.72,0.067,102.13,77.93,1,9.4
1222,2025-01-08,Sul,loja fisica,Móveis,Sofá,2,734.73,0.191,1188.35,828.42,1,6.5
176,2025-06-01,Centro-Oeste,Loja física,Alimentos,Suco,2,44.06,0.073,81.72,62.74,0,6.6
1323,2025-01-17,Sudeste,Loja física,Eletrônicos,,2,1936.82,0.243,2933.85,2315.5,1,8.8
1432,2025-05-17,Norte,Online,Vestuário,Camisa,1,264.01,0.293,247.87,98.73,1,6.1
300,2025-06-07,Norte,Marketplace,Beleza,Hidratante,2,143.18,0.03,277.78,137.56,1,7.2
223,2025-05-27,Sul,Loja física,Beleza,Hidratante,1,126.89,0.163,106.19,53.0,1,8.1
